Comments,Year,ID Number,Name,Name UD,Illustration,CEFR level,Definition in Russian,Definition in English,Definition in Norwegian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. function of construction,Synt. function of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type (only for Clause and Biclausal),Usage label,Anchor words,Common fillers,Comment,STRUCTURE in UD,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,627,VP же NP-Nom!,VP же NP-Nom!,Живут же некоторые!,,,,,,,,,,,,Adv,,,Attitude,Disapproval,Assessment,Negative,,,,,,,Colloquial,,,,,,,,,,Negative,Disapproval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,628,VP как можно Adv-Cmp,VP как можно Adv-Cmp,Пиши как можно чаще!,,,,,,,,,,,Adv,Adv,Adv; Modal,,Comparison,Inequality,Degree of intensity,Booster,,,,,,,Colloquial,,,,,,,,,,,,,,,,,Inequality,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,629,VP как надо,VP как надо,Отец готовил яичницу как надо.,,,,,,,,,,,Adv,Adv,,,Assessment,Positive,,,,,,,,,Colloquial,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,630,VP как ни в чём не бывало,VP как ни в чём не бывало,Он работал как ни в чём не бывало.,,,,,,,,,,,,Adv,,,Attitude,Unconcern,,,,,,,,,Colloquial,,,,,,,,,,,Unconcern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,631,VP как следует,VP как следует,Он работал как следует.,,,,,,,,,,,Adv,Adv,,,Assessment,Positive,,,,,,,,,Colloquial,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,632,VP лучше/не хуже PronPers-Gen,VP лучше/не хуже Pron-Gen,Я знаю лучше вашего.,,,,,,,,,,,Adv,Adv,Adv; Negation,,Comparison,Inequality,,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,,,,Inequality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,633,VP на раз(-два)(-три),VP на раз(-два)(-три),Настоящий мастер может изготовить обувь на раз.,,,,,,,,,,,Adv,Adv,"PP, Simplex prep; Noun",,Manner,,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,634,VP по принципу NP-Gen,VP по принципу NP-Gen,На конкурсе отбирают победителя по принципу зрительского голосования.,,,,,,,,,,,Adv,Nominal pattern,"Nominal pattern; PP, Simplex prep; Noun",,Manner,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,635,VP под NP-Acc,VP под NP-Acc,Она танцевала под музыку.,,,,,,,,,,,Adv,Prep,"PP, Simplex prep",,Manner,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,636,VP под NP-Acc,VP под NP-Acc,Она вернулась под утро.,,,,,,,,,,,,Prep,,,Phase of action,Terminative,Time,Temporal boundary,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminative,,,,,,,,,,,,,,,,,Temporal boundary,,,,
,,637,VP себе,VP себе,А он идёт себе.,,,,,,,,,,,Adv,Adv,Adv,,Manner,,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,638,VP себе (и) VP,VP себе (и) VP,Я стою себе думаю.,,,,,,,,,,,Verb pattern,Clause,Adv,,Phase of action,Continuative,,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuative,,,,,,,,,,,,,,,,,,,,,
,,639,VP так себе,VP так себе,На пианино я играю так себе.,,,,,,,,,,,,Adv,,,Assessment,Negative,,,,,,,,,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,640,"VP, что ли?","VP, что ли?","Поесть, что ли?",,,,,,,,,,,,Clause,,,Causation,Indirect,,,,,,,,Interrogative,Colloquial,,,,,,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,641,VP что ни попадя,VP что ни попадя,Ваня ел что ни попадя.,,,,,,,,,,,,Clause,,,Assessment,Negative,Manner,,,,,,,Assertive,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,642,VP NP-Acc из ничего,VP NP-Acc из ничего,Он смастерил шкатулку из ничего.,,,,,,,,,,,,Adv,,,Non-existence,Absence,Temporary characteristics,Transformation,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absence,,,,,,,,,,,,,,,,,,,,,Transformation,,,
,,643,VP NP-Gen на NumCrd-Acc,VP NP-Gen на NumCrd-Acc,Они уехали на дачу дня на два.,,,,,,,,,,,,Nominal pattern,,,Measure,Time,Degree of accuracy,Approximate,Time,Time period,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,Approximate,,,,,,,,,Time,,,,,,,,,,,,,,,,,,,,,,Time period,,,,
,,644,VP NP-Gen через NumCrd-Acc,VP NP-Gen через NumCrd-Acc,Он хочет купить машину года через два.,,,,,,,,,,,,Nominal pattern,,,Timeline,Future,Degree of accuracy,Approximate,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,Approximate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Future,,
