Comments,Year,ID Number,Name,Name UD,Illustration,CEFR level,Definition in Russian,Definition in English,Definition in Norwegian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. function of construction,Synt. function of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type (only for Clause and Biclausal),Usage label,Anchor words,Common fillers,Comment,STRUCTURE in UD,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,2015,(Да) как (же) (это) Cop можно Cl?!,(Да) как (же) (это) Cop можно Cl?!,Да как же это можно в деревне без кур!,,,,,,,,,,,,,,,Reaction to the previous discourse,Disagreement,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagreement,,,,,,,,,,,,,,,
,,2016,"Не факт, что Cl","Не факт, что Cl","Не факт, что это удачный эксперимент.",,,,,,,,,,,Parenth,,,,Reaction to the previous discourse,Disagreement,Epistemic modality,Low degree of certainty,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,Low degree of certainty,,,,,,,,,,,,,,,,,Disagreement,,,,,,,,,,,,,,,
,,2017,Много NP-Nom понимать в NP-Loc,Много NP-Nom понимать в NP-Loc,Много ты понимаешь в жизни!,,,,,,,,,,,,,,,Reaction to the previous discourse,Disagreement,Assessment,Negative,,,,,,,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagreement,,,,,,,,,,,,,,,
,,2018,NP-Nom и слышать не хотеть о NP-Loc,NP-Nom и слышать не хотеть о NP-Loc,Он и слышать не хочет об этих правилах!,,,,,,,,,,,,,,,Attitude,Unwilling,,,,,,,,,Colloquial,,,,,,,,,,,Unwilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"PronPers-Nom PronPers-Acc знать-Prs, Cl","PronPers PronPers-Acc знать-Pres, Cl","Я тебя знаю, ты всё разболтаешь.",,,,,,,,,,,,,,,Attitude,Confidence about knowledge ,,,,,,,,,Colloquial,,,,,,,,,,,Confidence about knowledge ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,"Сколько PronPers PronPers-Acc знать-Prs, Cl","Сколько PronPers PronPers-Acc знать-Pres, Cl","Сколько я тебя знаю, на сцене ты всегда в одной и той же рубашке.",,,,,,,,,,,,,,,Attitude,Confidence about knowledge ,Pluractionality,Habitual,,,,,,,Colloquial,,,,,,,,,,,Confidence about knowledge ,,,,,,,,,,,,,,,,,,,,,,,,,Habitual,,,,,,,,,,,,,,,,,,,,
,,2021,"(Да) было дело, Cl","(Да) было дело, Cl","Было дело, звал её однажды на свидание.",,,,,,,,,,,,,Parenth,,Reaction to the previous discourse,Agreement,Timeline,Past,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agreement,,,,,,,,,,,,,Past,,
,,2022,"Вот-вот, Cl","Вот-вот, Cl","Вот-вот, мне тоже фильм понравился!",,,,,,,,,,,Parenth,,,,Reaction to the previous discourse,Agreement,Routine,Conversation support,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agreement,,,,Conversation support,,,,,,,,,,,
,,2024,чтоб NP-Dat пусто было,чтоб NP-Dat пусто было,"И вообще, убирайтесь со своими советами. Чтоб вам всем пусто было!",,,,,,,,,,,,,,,Attitude,Negative,Routine,Curse,,,,,,,Colloquial,,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curse,,,,,,,,,,,
,,2025,а ну быстро VP-Imp!,а ну быстро VP-Imper!,А ну быстро делай домашнее задание!,,,,,,,,,,,,,,,Threat,,Causation,Direct,,,,,,,Colloquial,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,
,,2026,"или VP, или VP","или VP, или VP","Или ты это сделаешь, или тебе не поздоровится!",,,,,,,,,,,,,,,Threat,,Condition,,,,,,,,NA,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,
,,2027,PronPers-Nom у меня до-Verb-ся,Pron-Nom у меня до-V-ся,Они у меня допрыгаются!,,,,,,,,,,,,,,,Threat,,Result,subtype Result,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,Unspecified,
,,2028,только попробовать-Imp/пусть только попробовать-Fut.3 VP-Inf! ,только попробовать-Imper/пусть только попробовать-Fut.3 VP-Inf! ,Пусть только попробует меня не пустить!,,,,,,,,,,,,,,,Threat,,Prohibition,Prohibitive,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibitive,,,,,,,,,,,,,,,,,Unspecified,
,,2029,VP без NP-Gen,VP без NP-Gen,Я пришла на встречу без подруги.,,,,,,,,,,,,,,,Caritive,,,,,,,,,,NA,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2030,NP за вычетом NP-Gen,NP за вычетом NP-Gen,Исполнитель возвращает заказчику всю сумму за вычетом документированных транспортных затрат.,,,,,,,,,,,,,,,Quantification,Еxceptive,Caritive,,,,,,,,Formal,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2031,NP/VP без учета NP-Gen,NP/VP без учета NP-Gen,"Средний счет в этом ресторане, без учета алкоголя, две тысячи рублей.",,,,,,,,,,,,,,,Quantification,Еxceptive,Caritive,,,,,,,,NA,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2032,VP без всякого NP-Gen,VP без всякого NP-Gen,Мы попрощались с ним без всякого сожаления.,,,,,,,,,,,Adv,,PP; Simplex prep,,Manner,,Caritive,,Quantification,Universal,,,,,NA,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,Universal,,,,,,,,,,,,,,,,
,,2033,NumCrd целых NumCrd десятых/сотых/тысячных (NP-Gen),NumCrd целых NumCrd десятых/сотых/тысячных (NP-Gen),Пять целых семь десятых сантиметра,,,,,,,,,,,,,,,Calculation,Fraction,Measure,,,,,,,,NA,,,,,,,,,,,,Fraction,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2034,одна NumOrd-Sg.F (часть/доля) (NP-Gen),одна NumOrd-Sg.Fem (часть/доля) (NP-Gen),Добавить одну пятую ложки сахара.,,,,,,,,,,,,,,,Calculation,Fraction,Measure,,,,,,,,NA,,,,,,,,,,,,Fraction,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2035,NumCrd NumOrd-Gen.Pl (NP-Gen),NumCrd NumOrd-Gen.Pl (NP-Gen),Три пятых бассейна заполнили водой.,,,,,,,,,,,,,,,Calculation,Fraction,Measure,,,,,,,,NA,,,,,,,,,,,,Fraction,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2036,NumCrd-Nom (не) делится (нацело) на NumCrd-Acc,NumCrd-Nom (не) делится (нацело) на NumCrd-Acc,Семь не делится нацело на два. ,,,,,,,,,,,,,,,Calculation,Division,,,,,,,,,NA,,,,,,,,,,,,Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2037,NumCrd-Nom делится на NumCrd-Acc с остатком (NumCrd-Nom),NumCrd-Nom делится на NumCrd-Acc с остатком (NumCrd-Nom),Семь делится на три с остатком один.,,,,,,,,,,,,,,,Calculation,Division,,,,,,,,,NA,,,,,,,,,,,,Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2038,к NumCrd-Dat прибавить NumCrd-Acc равно/будет/получится/выйдет NumCrd-Nom,к NumCrd-Dat прибавить NumCrd-Acc равно/будет/получится/выйдет NumCrd-Nom,К четырём прибавить два будет шесть.,,,,,,,,,,,,,,,Calculation,Addition,,,,,,,,,NA,,,,,,,,,,,,Addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2039,из NumCrd-Gen вычесть NumCrd-Acc равно/будет/получится/выйдет NumCrd-Nom,из NumCrd-Gen вычесть NumCrd-Acc равно/будет/получится/выйдет NumCrd-Nom,Из семи вычесть два получится пять.,,,,,,,,,,,,,,,Calculation,Subtraction,,,,,,,,,NA,,,,,,,,,,,,Subtraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2040,от NumCrd-Gen отнять NumCrd-Acc равно/будет/получится/выйдет NumCrd-Nom,от NumCrd-Gen отнять NumCrd-Acc равно/будет/получится/выйдет NumCrd-Nom,От восьми отнять три будет пять.,,,,,,,,,,,,,,,Calculation,Subtraction,,,,,,,,,NA,,,,,,,,,,,,Subtraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2041,VP все и каждый,VP все и каждый,Эту книгу можно рекомендовать всем и каждому.,,,,,,,,,,,,,,,Quantification,Universal,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universal,,,,,,,,,,,,,,,,
,,2042,во многом XP,во многом XP,Низкие цены во многом обусловлены дешёвым топливом. ,,,,,,,,,,,,,,,Measure,,Quantification,Proportional,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,Proportional,,,,,,,,,,Unspecified,,,,,,
,,2043,PronPers-Pl все XP,Pron-Pl все XP,Нам всем нужен отдых.,,,,,,,,,,,,,,,Quantification,Universal,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universal,,,,,,,,,,,,,,,,
,,2044,все из PronPers-Gen.Pl,все из PronPers-Gen.Plur,Почти все из нас знакомы с директором.,,,,,,,,,,,,,,,Quantification,Universal,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universal,,,,,,,,,,,,,,,,
,,2045,каждый из NP-Gen.Pl,каждый из NP-Gen.Plur,О каждом из персонажей книги написана статья.,,,,,,,,,,,,,,,Quantification,Universal,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universal,,,,,,,,,,,,,,,,
,,2046,(великое) множество NP-Gen.Pl,(великое) множество NP-Gen.Plur,Можно найти великое множество примеров этой конструкции.,,,,,,,,,,,,,,,Measure,,Degree of intensity,Booster,Quantification ,Existential,,,,,NA,,,,,,,,,,,,,,,,,,,,,,Booster,,,,,,,,Unspecified,,,,,,,,,,Existential,,,,,,,,,,,,,,,,
,,2047,(по) NumCrd NP каждый,(по) NumCrd NP каждый,Мальчики принесли по три книги каждый.,,,,,,,,,,,,,,,Actionality,Distributive,Quantification,,,,,,,,NA,,,,,Distributive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universal,,,,,,,,,,,,,,,,
,,2048,"Кто, если не NP, (VP)? ","Кто, если не NP, (VP)? ","Кто, если не Петя, придёт на помощь? ",,,,,,,,,,,,Clause,Clause,,Condition,,,,,,,,,Interrogative,NA,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2049,"XP ли, XP ли, Cl","XP ли, XP ли, Cl","Пойдёт ли дождь, будет ли солнце, он всё равно останется дома.",,,,,,,,,,,,Biclausal,,,Condition,,Options,,,,,,,Assertive ,NA,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,
,,2050,"Cl так, как если бы Cl ","Cl так, как если бы Cl ","О тех временах он помнил так, как если б это было вчера.",,,,,,,,,,,Matrix,Matrix,Conj,,Comparison ,Similarity,Condition ,,,,,,,,NA,,,,,,,,,,,,,,,,,Similarity,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2051,NP-Nom пользоваться услугами NP-Gen,пользоваться услугами NP-Gen,"Если детей не с кем оставить, мама может воспользоваться услугами няни  .",,,,,,,,,,,,,,,Instrument,,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2052,"все VP, один только NP-Nom VP","все VP, один только NP-Nom VP","Все спали, один только дедушка сидел возле окна.",,,,,,,,,,,,,,,Quantification,"Exclusive, Universal",,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,Universal,,,,,,,,,,,,,,,,
,,2053,как раз VP/Adv,как раз VP/Adv,"Хорошо, что ты позвонил, я как раз про тебя вспоминал.",,,,,,,,,,,,,,,Taxis,Simultaneous action,Degree of accuracy,Exact,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simultaneous action,,,,,
,,2055,"без сомнения, Cl","без сомнения, Cl","Без сомнения, он лучший среди сотрудников.",,,,,,,,,,,Parenth,Parenth,,,Epistemic modality,High degree of certainty,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,High degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2056,"вне всякого сомнения, Cl","вне всякого сомнения, Cl","Вне всякого сомнения, он невиновен.",,,,,,,,,,,Parenth,Parenth,,,Epistemic modality,High degree of certainty,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,High degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2057,помимо NP-Gen Cl,помимо NP-Gen Cl,Помимо учёбы я занимаюсь спортом.,,,,,,,,,,,,,,,Discourse structure,Discourse additive,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,Discourse additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2058,"если не считать NP-Gen, Cl","если не считать NP-Gen, Cl","Он самый главный в фирме, если не считать директора.",,,,,,,,,,,,,,,Caritive,,,,,,,,,,NA,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2059,как раз-таки XP,как раз-таки XP,"Она как раз-таки хотела нам помочь, в отличие от остальных.",,,,,,,,,,,,,,,Comparison,Contrast,Discourse structure,Emphasis,,,,,,,Colloquial,,,,,,,,,,,,,,,,,Contrast,,,,,,Emphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2060,(NP-Dat) VP-Inf Cop некого,(NP-Dat) VP-Inf Cop некого,Мне некого пригласить.,,,,,,,,,,,Praedic,Praedic,Verb pattern; Adv; Double negation,,Non-existence,Absence,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absence,,,,,,,,,,,,,,,,,,,,,,,,
,,2061,(NP-Dat) VP-Inf Cop некогда,(NP-Dat) VP-Inf Cop некогда,Ему идти в кино некогда.,,,,,,,,,,,,,,,Non-existence,Absence,Time,Proper time,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absence,,,,,,,,,,,,,,,,,,,,Proper time,,,,
,,2062,никто/ничто не VP,никто/ничто не VP,Никто не будет тебя ругать.,,,,,,,,,,,,,,,Non-existence,Absence,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absence,,,,,,,,,,,,,,,,,,,,,,,,
,,2063,"Cl, (а) NP-Gen и след простыл","Cl, (а) NP-Gen и след простыл","Когда все проснулись, его и след простыл.",,,,,,,,,,,,,,,Non-existence,Disappear,Mirative,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,Disappear,,,,,,,,,,,,,,,,,,,,,,,,
,,2064,"Cl, только NP-Acc и видели","Cl, только NP-Acc и видели","Он выбежал из кабинета, только его и видели!",,,,,,,,,,,,,,,Non-existence,Disappear,Mirative,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,Disappear,,,,,,,,,,,,,,,,,,,,,,,,
,,2065,"Cl, пожалуйста","Cl, пожалуйста","Мне килограмм конфет, пожалуйста.",,,,,,,,,,,,,,,Request,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,
,,2066,давай(те) PronPers-2 VP ,давай(те) PronPers-2 VP ,Давай ты не будешь так быстро ехать? ,,,,,,,,,,,,,,,Request,,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,
,,2067,"сделать-Imper (PronPers-1.Dat) одолжение, VP-Imper","сделать-Imper (PronPers-1.Dat) одолжение, VP-Imper","Сделай одолжение, принеси мою сумку!",,,,,,,,,,,,,,,Request,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,
,,2068,не сочти(те) за труд VP-Inf/VP-Imp,не сочти(те) за труд VP-Inf/VP-Imper,Не сочтите за труд отправить эти документы.,,,,,,,,,,,,,,,Request,,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,
,,2069,милости прошу/просим XP,милости прошу/просим XP,Милости прошу за стол!,,,,,,,,,,,,,,,Request,,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,
,,2070,изволь(те) VP-Inf,изволь(те) VP-Inf,Использовал компьютер без спроса – изволь отвечать.,,,,,,,,,,,,,,,Causation,Direct,Request,,,,,,,,Obsolete,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,
,,2071,потруди(те)сь VP-Inf,потруди(те)сь VP-Inf,Потрудись ответить на мой вопрос.,,,,,,,,,,,,,,,Causation,Direct,Request,,,,,,,,Formal,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,
,,2072,желать PronPers-Dat NP-Gen,желать PronPers-Dat NP-Gen,Я желаю Вам успеха!,,,,,,,,,,,,,,,Routine,Kind wishes,Volition,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kind wishes,,,,,,,,,,,Unspecified
,,2073,прими(те) мои NP-Acc.Pl!,прими(те) мои NP-Acc.Plur!,"Дорогие друзья, примите мои поздравления!",,,,,,,,,,,,,,,Routine,Kind wishes,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kind wishes,,,,,,,,,,,
,,2074,и PronPers-Dat того же,и PronPers-Dat того же,И вам того же!,,,,,,,,,,,,,,,Reaction to the previous discourse,,Routine,Kind wishes,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kind wishes,,,,,,,,,,,
,,2075,"Спасибо NP-Dat (за NP-Acc/за то, что Cl)!","Спасибо NP-Dat (за NP-Acc/за то, что Cl)!",Спасибо тебе за помощь!,,,,,,,,,,,,,,,Routine,Thanks,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thanks,,,,,,,,,,,
,,2076,"NP-Nom благодарить NP-Acc (за NP-Acc/за то, что Cl)!","NP-Nom благодарить NP-Acc (за NP-Acc/за то, что Cl)!",Благодарю тебя за подарок!,,,,,,,,,,,,,,,Routine,Thanks,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thanks,,,,,,,,,,,
,,2077,NP-Nom приветствовать NP-Acc,NP-Nom приветствовать NP-Acc,Приветствуем вас на нашей конференции!,,,,,,,,,,,,,,,Routine,Greeting,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greeting,,,,,,,,,,,
,,2078,Рад VP-Inf,Рад VP-Inf,Рада вас видеть!,,,,,,,,,,,,,,,Routine,Greeting,Attitude,Emotional attitude,,,,,,,NA,,,,,,,,,,,Emotional attitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greeting,,,,,,,,,,,
,,2079,"Разрешите/позвольте представиться, NP-Nom","Разрешите/позвольте представиться, NP-Nom","Позвольте представиться, Александр Георгиевич.",,,,,,,,,,,,,,,Routine,Greeting,Salient property,Naming,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greeting,Naming,,,,,,,,,,
,,2080,PronPers-Dat (уже) пора (VP-Inf)!,PronPers-Dat (уже) пора (VP-Inf)!,Мне уже пора!,,,,,,,,,,,,,,,Routine,Parting,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parting,,,,,,,,,,,
,,2081,"к (PronPoss/Adj) сожалению, Cl","к (PronPoss/Adj) сожалению, Cl","К сожалению, мы не можем вам помочь.",,,,,,,,,,,,,,,Attitude,Regret,,,,,,,,,NA,,,,,,,,,,,Regret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2082,"Извини(те)/Прости(те) (PronPers-Acc), что Cl","Извини(те)/Прости(те) (PronPers-Acc), что Cl","Извините меня, что я опоздала.",,,,,,,,,,,,,,,Routine,Apology,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apology,,,,,,,,,,,
,,2083,"Прошу прошения за NP-Acc/за то, что Cl","Прошу прошения за NP-Acc/за то, что Cl",Прошу прощения за опоздание.,,,,,,,,,,,,,,,Routine,Apology,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apology,,,,,,,,,,,
,,2084,без NumCrd-Gen (минут) NumCrd-Nom,без NumCrd-Gen (минут) NumCrd-Nom,Приходи к без пятнадцати десять.,,,,,,,,,,,,,,,Time,Clock,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clock,,,,
,,2085,NumCrd минут NumOrd-Gen,NumCrd минут NumOrd-Gen,Фильм начнется в двадцать минут третьего.,,,,,,,,,,,,,,,Time,Clock,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clock,,,,
,,2086,пол-NumOrd-Gen/половина NumOrd-Gen (утра/вечера/ночи),пол-NumOrd-Gen/половина NumOrd-Gen (утра/вечера/ночи),Мы вернулись домой пол-восьмого.,,,,,,,,,,,,,,,Time,Clock,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clock,,,,
,,2087,NumCrd (час-Gen) утра/дня/вечера/ночи,NumCrd (час-Gen) утра/дня/вечера/ночи,Мы прилетаем в два часа ночи.,,,,,,,,,,,,,,,Time,Clock,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clock,,,,
,,2088,"Несмотря/Невзирая на NP-Acc, Cl ","Несмотря/Невзирая на NP-Acc, Cl ","Несмотря на отзывы туристов, он всё равно поехал в Грузию.",,,,,,,,,,,,Parenth,Clause ,,Concession ,Failed expectation,,,,,,,,Assertive ,NA,,,,,,,,,,,,,,,,,,,Failed expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2089,"Несмотря/Невзирая на то, что Cl, Cl ","Несмотря/Невзирая на то, что Cl, Cl ","Несмотря на то, что ему было уже двадцать лет, он ещё не выбрал профессию.",,,,,,,,,,,,Conj,Bisclausal,,Concession ,Failed expectation,,,,,,,,Assertive ,NA,,,,,,,,,,,,,,,,,,,Failed expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2090,"Cl, хотя Cl","Cl, хотя Cl","Петя пришёл, хотя мы его не приглашали.",,,,,,,,,,,,Conj,Bisclausal,,Concession ,Failed expectation,,,,,,,,Assertive ,NA,,,,,,,,,,,,,,,,,,,Failed expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2091,худо-бедно VP,худо-бедно VP,Сорокин худо-бедно сам создал свой литературный мир.,,,,,,,,,,,,,,,Concession,Failed expectation,,Manner,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,Failed expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2092,VP вопреки NP-Dat ,VP вопреки NP-Dat ,"Вопреки всем прогнозам, на улице была хорошая погода.",,,,,,,,,,,,,Bisclausal/Conj ,,Concession ,Failed expectation,,,,,,,,Assertive ,NA,,,,,,,,,,,,,,,,,,,Failed expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2093,"несмотря ни на что, Cl","несмотря ни на что, Cl","Я добьюсь своего, несмотря ни на что.",,,,,,,,,,,,,,,Concession,Failed expectation,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,Failed expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2094,"как ни верти/крути, Cl","как ни верти/крути, Cl","Как ни верти, а надо отсюда уезжать.",,,,,,,,,,,,,,,Concession,Failed expectation,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,Failed expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2095,ровным счетом ни-PronInt,ровным счетом ни-PronInt,Это не принесло нам ровным счетом никакой пользы.,,,,,,,,,,,,,,,Degree of intensity,Minimizer: Absence,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,Minimizer: Absence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2096,(и) правда/действительно XP,(и) правда/действительно XP,Я правда ничего об этом не знаю.,,,,,,,,,,,,,,,Discourse structure,Emphasis,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,Emphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2097,NP собственной персоной,NP собственной персоной,К нам приедет министр собственной персоной.,,,,,,,,,,,,,,,Discourse structure,Emphasis,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,Emphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
